Have you taken a statistics course before?,Have you taken a programming course before?,How familiar are you with the following tools: [Moodle],How familiar are you with the following tools: [Gradescope],How familiar are you with the following tools: [Zoom],How familiar are you with the following tools: [Slack],How familiar are you with the following tools: [Google Docs/Drive],How familiar are you with the following tools: [R],How familiar are you with the following tools: [RStudio],How familiar are you with the following tools: [RMarkdown],How familiar are you with the following tools: [Excel]
Yes - AP Stats,Yes - high school course,Use often/Don't need any review,Use often/Don't need any review,Use often/Don't need any review,Use often/Don't need any review,Use often/Don't need any review,Used once or twice/need a tutorial,Used once or twice/need a tutorial,Used once or twice/need a tutorial,Use often/Don't need any review
Yes - AP Stats,No,Use often/Don't need any review,Use often/Don't need any review,Used occasionally/need a quick refresher,Used once or twice/need a tutorial,Use often/Don't need any review,Never used,Never used,Never used,Used occasionally/need a quick refresher
No,No,Never used,Never used,Used occasionally/need a quick refresher,Never used,Use often/Don't need any review,Never used,Never used,Never used,Used occasionally/need a quick refresher
Yes - AP Stats,No,Never used,Never used,Used occasionally/need a quick refresher,Used once or twice/need a tutorial,Use often/Don't need any review,Never used,Never used,Never used,Never used
No,No,Used once or twice/need a tutorial,Never used,Use often/Don't need any review,Use often/Don't need any review,Use often/Don't need any review,Never used,Never used,Never used,Use often/Don't need any review
No,No,Use often/Don't need any review,Used occasionally/need a quick refresher,Use often/Don't need any review,Use often/Don't need any review,Use often/Don't need any review,Never used,Never used,Never used,Use often/Don't need any review
No,No,Use often/Don't need any review,Used occasionally/need a quick refresher,Use often/Don't need any review,Use often/Don't need any review,Use often/Don't need any review,Never used,Never used,Never used,Use often/Don't need any review
Yes - AP Stats,No,Use often/Don't need any review,Used occasionally/need a quick refresher,Used occasionally/need a quick refresher,Never used,Use often/Don't need any review,Never used,Never used,Never used,Used occasionally/need a quick refresher
No,Yes - online course (for or not for credit),Never used,Never used,Use often/Don't need any review,Used once or twice/need a tutorial,Use often/Don't need any review,Never used,Never used,Never used,Used occasionally/need a quick refresher
No,No,Never used,Never used,Use often/Don't need any review,Never used,Use often/Don't need any review,Never used,Never used,Never used,Used occasionally/need a quick refresher
No,Yes - high school course,Used once or twice/need a tutorial,Never used,Used occasionally/need a quick refresher,Never used,Use often/Don't need any review,Never used,Never used,Never used,Used occasionally/need a quick refresher
Yes - AP Stats,No,Used occasionally/need a quick refresher,Used once or twice/need a tutorial,Used once or twice/need a tutorial,Never used,Use often/Don't need any review,Never used,Never used,Never used,Used once or twice/need a tutorial
No,Yes - high school course,Use often/Don't need any review,Never used,Use often/Don't need any review,Used once or twice/need a tutorial,Use often/Don't need any review,Never used,Never used,Never used,Used occasionally/need a quick refresher
No,No,Use often/Don't need any review,Never used,Use often/Don't need any review,Never used,Use often/Don't need any review,Never used,Never used,Never used,Use often/Don't need any review
No,No,Use often/Don't need any review,Used occasionally/need a quick refresher,Use often/Don't need any review,Never used,Use often/Don't need any review,Never used,Never used,Never used,Used occasionally/need a quick refresher
"Yes - online course (for or not for credit), No",No,Never used,Never used,Use often/Don't need any review,Never used,Use often/Don't need any review,Never used,Never used,Never used,Used once or twice/need a tutorial
No,No,Use often/Don't need any review,Used occasionally/need a quick refresher,Use often/Don't need any review,Never used,Use often/Don't need any review,Never used,Never used,Never used,Used occasionally/need a quick refresher
Yes - AP Stats,Yes - high school course,Used once or twice/need a tutorial,Never used,Use often/Don't need any review,Never used,Use often/Don't need any review,Never used,Never used,Never used,Never used
Yes - AP Stats,Yes - high school course,Use often/Don't need any review,Never used,Use often/Don't need any review,Used occasionally/need a quick refresher,Use often/Don't need any review,Never used,Never used,Never used,Used once or twice/need a tutorial
No,No,Use often/Don't need any review,Used occasionally/need a quick refresher,Use often/Don't need any review,Used occasionally/need a quick refresher,Use often/Don't need any review,Never used,Never used,Never used,Use often/Don't need any review
No,Yes - CS 111 at Carleton,Use often/Don't need any review,Use often/Don't need any review,Use often/Don't need any review,Use often/Don't need any review,Use often/Don't need any review,Never used,Never used,Never used,Used occasionally/need a quick refresher
No,No,Use often/Don't need any review,Never used,Use often/Don't need any review,Never used,Use often/Don't need any review,Never used,Never used,Never used,Used occasionally/need a quick refresher
No,Yes - high school course,Never used,Never used,Use often/Don't need any review,Never used,Use often/Don't need any review,Never used,Never used,Never used,Used occasionally/need a quick refresher
No,Yes - CS 111 at Carleton,Use often/Don't need any review,Use often/Don't need any review,Use often/Don't need any review,Use often/Don't need any review,Use often/Don't need any review,Never used,Never used,Never used,Use often/Don't need any review
No,"Yes - CS 111 at Carleton, Yes - other college course",Use often/Don't need any review,Use often/Don't need any review,Use often/Don't need any review,Use often/Don't need any review,Use often/Don't need any review,Never used,Never used,Never used,Used occasionally/need a quick refresher
No,Yes - high school course,Use often/Don't need any review,Use often/Don't need any review,Use often/Don't need any review,Never used,Use often/Don't need any review,Never used,Never used,Never used,Used once or twice/need a tutorial
No,Yes - CS 111 at Carleton,Use often/Don't need any review,Use often/Don't need any review,Use often/Don't need any review,Use often/Don't need any review,Use often/Don't need any review,Used once or twice/need a tutorial,Used once or twice/need a tutorial,Used once or twice/need a tutorial,Used occasionally/need a quick refresher
Yes - AP Stats,No,Never used,Never used,Use often/Don't need any review,Never used,Used occasionally/need a quick refresher,Never used,Never used,Never used,Used once or twice/need a tutorial
No,No,Used occasionally/need a quick refresher,Never used,Use often/Don't need any review,Used once or twice/need a tutorial,Use often/Don't need any review,Never used,Never used,Never used,Never used
